Date,AAPL_PX_LAST,SPX_PX_LAST
11/13/2014,108.0471,2039.33
11/14/2014,109.3496,2039.82
11/17/2014,109.1676,2041.32
11/18/2014,110.585,2051.8
11/19/2014,109.8188,2048.72
11/20/2014,111.3895,2052.75
11/21/2014,111.5427,2063.5
11/24/2014,113.6065,2069.41
11/25/2014,112.6249,2067.03
11/26/2014,113.9656,2072.83
11/28/2014,113.8986,2067.56
12/1/2014,110.2019,2053.44
12/2/2014,109.7805,2066.55
12/3/2014,111.0255,2074.33
12/4/2014,110.6041,2071.92
12/5/2014,110.1349,2075.37
12/8/2014,107.6449,2060.31
12/9/2014,109.2921,2059.82
12/10/2014,107.2139,2026.14
12/11/2014,106.8979,2035.33
12/12/2014,105.0878,2002.33
12/15/2014,103.6465,1989.63
12/16/2014,102.2291,1972.74
12/17/2014,104.7814,2012.89
12/18/2014,107.8843,2061.23
12/19/2014,107.0511,2070.65
12/22/2014,108.162,2078.54
12/23/2014,107.7789,2082.17
12/24/2014,107.2714,2081.88
12/26/2014,109.1676,2088.77
12/29/2014,109.091,2090.57
12/30/2014,107.7598,2080.35
12/31/2014,105.7103,2058.9
1/2/2015,104.7047,2058.2
1/5/2015,101.755,2020.58
1/6/2015,101.7646,2002.61
1/7/2015,103.1916,2025.9
1/8/2015,107.1564,2062.14
1/9/2015,107.2714,2044.81
1/12/2015,104.6281,2028.26
1/13/2015,105.5571,2023.03
1/14/2015,105.1549,2011.27
1/15/2015,102.3009,1992.67
1/16/2015,101.506,2019.42
1/20/2015,104.1205,2022.55
1/21/2015,104.9154,2032.12
1/22/2015,107.6449,2063.15
1/23/2015,108.2003,2051.82
1/26/2015,108.3153,2057.09
1/27/2015,104.5228,2029.55
1/28/2015,110.4318,2002.16
1/29/2015,113.8699,2021.25
1/30/2015,112.2035,1994.99
2/2/2015,113.6113,2020.85
2/3/2015,113.6305,2050.03
2/4/2015,114.502,2041.51
2/5/2015,115.3192,2062.52
2/6/2015,114.3481,2055.47
2/9/2015,115.1077,2046.74
2/10/2015,117.3191,2068.59
2/11/2015,120.0689,2068.53
2/12/2015,121.588,2088.48
2/13/2015,122.1841,2096.99
2/17/2015,122.9052,2100.34
2/18/2015,123.7561,2099.68
2/19/2015,123.5014,2097.45
2/20/2015,124.5061,2110.3
2/23/2015,127.8761,2109.66
2/24/2015,127.078,2115.48
2/25/2015,123.8283,2113.86
2/26/2015,125.3907,2110.74
2/27/2015,123.511,2104.5
3/2/2015,124.1167,2117.39
3/3/2015,124.3763,2107.78
3/4/2015,123.5879,2098.53
